name,calories,protein,fat,carbohydrates,diet_type,category,region,meal_time
Curd Rice 69,269.8,23.6,29.8,66.6,eggetarian,dessert,West India,evening
Chole Bhature 3,276.5,18.0,39.9,61.8,eggetarian,breakfast,West India,night
Tandoori Chicken 1,566.3,10.3,25.5,47.5,non-vegetarian,dessert,East India,morning
Dal Tadka 88,353.2,28.9,9.3,42.5,non-vegetarian,lunch,Pan India,morning
Kofta Curry 27,408.3,10.1,26.1,29.9,eggetarian,breakfast,South India,morning
Vegetable Pulao 57,229.7,28.0,36.6,58.7,vegetarian,lunch,North India,afternoon
Khichdi 33,598.6,14.3,23.9,50.4,eggetarian,dessert,East India,night
Malai Kofta 26,213.5,18.6,36.4,39.1,eggetarian,dinner,East India,morning
Gajar Halwa 72,404.9,15.6,35.0,75.3,vegetarian,dinner,Pan India,evening
Pakora 4,369.2,11.0,16.0,71.9,vegetarian,dinner,North India,afternoon
Thepla 22,562.4,2.9,5.5,60.6,vegetarian,lunch,North India,evening
Paneer Tikka 56,526.6,12.4,27.2,48.5,non-vegetarian,lunch,North India,night
Gajar Halwa 1,431.6,20.9,12.7,24.1,vegetarian,dinner,Pan India,morning
Poha 79,404.4,23.7,22.5,42.2,eggetarian,breakfast,Pan India,afternoon
Samosa 64,575.2,25.8,24.9,60.3,vegetarian,dessert,East India,afternoon
Vada Pav 11,349.9,16.0,16.2,17.0,vegan,dinner,South India,afternoon
Egg Curry 17,564.0,10.8,13.2,56.9,vegetarian,dessert,Pan India,evening
Paneer Tikka 78,138.8,18.6,23.7,53.6,non-vegetarian,dinner,Pan India,afternoon
Baingan Bharta 8,245.1,6.0,35.3,73.8,non-vegetarian,lunch,East India,evening
Butter Naan 65,311.3,20.0,33.1,55.9,non-vegetarian,dinner,Pan India,night
Lassi 39,285.1,9.2,4.4,12.1,non-vegetarian,snack,East India,evening
Baingan Bharta 89,334.2,22.6,38.6,60.1,vegan,snack,East India,afternoon
Besan Chilla 63,284.1,3.8,35.9,67.3,non-vegetarian,dinner,North India,afternoon
Tandoori Chicken 52,438.6,10.6,20.0,53.0,eggetarian,dinner,Pan India,night
Pav Bhaji 60,156.4,10.3,16.6,46.0,vegetarian,dessert,West India,afternoon
Masala Chai 33,456.8,8.4,29.4,57.5,non-vegetarian,breakfast,South India,afternoon
Mutton Curry 66,517.0,8.8,33.4,51.2,vegan,dessert,East India,afternoon
Misal Pav 51,105.0,28.4,9.0,34.7,vegetarian,lunch,East India,night
Egg Curry 4,589.3,14.5,32.2,79.0,vegan,dessert,North India,evening
Curd Rice 13,580.4,9.9,22.3,58.5,non-vegetarian,dessert,South India,afternoon
Veg Momos 16,489.0,29.6,38.1,24.9,vegetarian,breakfast,East India,night
Vada Pav 32,230.9,15.6,33.2,78.7,vegetarian,breakfast,South India,evening
Chicken Biryani 9,560.3,3.0,5.9,14.5,vegetarian,lunch,South India,night
Bhindi Masala 86,346.6,11.3,8.0,55.0,vegan,lunch,Pan India,night
Butter Naan 34,566.4,9.4,4.3,73.2,vegan,dessert,Pan India,morning
Chole Bhature 45,566.3,19.3,17.3,31.7,non-vegetarian,lunch,North India,evening
Chole Bhature 80,190.5,16.9,3.1,33.6,eggetarian,breakfast,East India,afternoon
Shrikhand 45,312.1,12.3,25.2,43.7,non-vegetarian,lunch,North India,night
Tandoori Chicken 91,449.3,9.0,16.4,15.0,eggetarian,dinner,West India,morning
Kadhi 96,112.1,27.6,28.3,29.5,vegan,dessert,West India,night
Aloo Paratha 37,568.2,10.7,6.6,70.4,vegan,snack,Pan India,night
Malai Kofta 33,505.7,7.3,34.9,41.8,vegan,lunch,South India,night
Rajma Chawal 53,339.4,4.2,4.9,33.4,vegan,snack,West India,evening
Jalebi 9,109.3,18.7,38.1,79.3,non-vegetarian,dinner,East India,evening
Rajma Chawal 74,215.7,16.1,24.0,46.4,non-vegetarian,snack,East India,night
Kheer 38,432.9,22.9,39.2,31.6,eggetarian,breakfast,East India,afternoon
Vegetable Pulao 98,256.8,21.3,36.0,14.8,vegetarian,dessert,North India,morning
Malai Kofta 14,362.6,14.6,9.5,30.7,vegetarian,dinner,Pan India,morning
Egg Curry 2,304.1,27.8,35.5,13.7,eggetarian,dessert,South India,afternoon
Dal Tadka 89,348.3,26.0,34.6,57.6,eggetarian,breakfast,North India,morning
Idli 38,426.6,4.1,16.1,76.3,vegetarian,breakfast,Pan India,night
Dhokla 15,435.4,26.4,11.7,26.8,non-vegetarian,breakfast,East India,morning
Kadhi 83,531.7,27.5,29.4,75.6,eggetarian,lunch,North India,night
Dosa 41,508.1,22.0,24.0,67.5,vegetarian,snack,North India,afternoon
Besan Chilla 17,383.0,11.8,37.5,58.8,non-vegetarian,breakfast,West India,afternoon
Malai Kofta 54,222.6,12.3,34.6,57.3,vegan,lunch,North India,morning
Chicken 65 19,363.8,28.2,7.2,42.5,vegan,breakfast,North India,morning
Pav Bhaji 41,217.6,9.8,25.4,59.1,non-vegetarian,snack,West India,evening
Upma 58,154.2,9.9,38.8,77.3,non-vegetarian,lunch,Pan India,morning
Palak Paneer 34,106.0,15.1,34.9,35.8,vegan,dessert,West India,night
Kadhi 56,338.5,17.9,2.2,33.4,vegan,snack,Pan India,morning
Misal Pav 15,246.9,11.8,11.9,63.0,vegan,dessert,South India,afternoon
Butter Naan 55,422.0,22.2,5.7,16.1,eggetarian,snack,North India,night
Jalebi 34,487.7,17.1,10.1,76.1,vegan,lunch,South India,afternoon
Paneer Tikka 66,501.9,2.5,8.3,22.0,non-vegetarian,breakfast,East India,night
Chole Bhature 65,296.9,5.9,17.9,40.5,vegetarian,snack,Pan India,afternoon
Idli 97,513.7,5.4,1.7,58.0,vegetarian,lunch,North India,afternoon
Vegetable Pulao 62,516.5,23.8,36.9,14.0,eggetarian,dinner,West India,afternoon
Lemon Rice 25,298.8,13.5,34.1,58.0,non-vegetarian,dinner,South India,evening
Samosa 66,391.5,18.4,4.9,37.2,non-vegetarian,dinner,West India,evening
Palak Paneer 21,198.0,29.0,25.8,23.1,vegetarian,lunch,Pan India,afternoon
Tandoori Chicken 20,498.0,26.3,23.8,35.4,non-vegetarian,lunch,East India,afternoon
Khichdi 43,333.2,3.8,7.9,15.0,non-vegetarian,snack,East India,evening
Misal Pav 43,401.3,18.2,29.1,47.8,vegan,snack,South India,night
Chicken 65 65,505.1,21.3,5.1,20.5,non-vegetarian,breakfast,Pan India,morning
Paneer Tikka 30,137.2,20.7,14.1,71.7,vegetarian,breakfast,South India,morning
Pav Bhaji 95,335.8,16.5,23.2,32.9,eggetarian,dinner,West India,evening
Lemon Rice 67,546.5,4.4,27.6,69.3,vegetarian,dessert,East India,evening
Malai Kofta 93,306.0,6.5,27.4,45.9,vegetarian,lunch,North India,evening
Kofta Curry 72,377.5,3.6,31.3,64.4,vegetarian,dinner,North India,night
Curd Rice 77,296.9,9.2,33.9,42.8,vegetarian,dinner,West India,morning
Kofta Curry 2,559.9,3.3,31.2,57.4,vegetarian,lunch,East India,night
Chicken 65 69,114.4,15.4,31.5,10.4,eggetarian,breakfast,North India,morning
Chole Bhature 49,105.9,14.2,3.5,23.5,eggetarian,breakfast,Pan India,morning
Lassi 86,106.1,7.3,8.6,41.8,eggetarian,dinner,Pan India,night
Gajar Halwa 84,128.0,14.2,2.8,20.1,non-vegetarian,lunch,West India,afternoon
Paneer Tikka 98,366.6,16.4,36.2,35.3,eggetarian,lunch,Pan India,morning
Baingan Bharta 40,271.8,26.0,11.5,73.5,eggetarian,breakfast,South India,afternoon
Modak 46,347.5,19.1,15.9,33.0,vegetarian,dessert,West India,night
Curd Rice 73,414.2,12.0,12.6,63.2,vegan,dinner,North India,night
Aloo Paratha 54,141.6,16.2,4.9,20.5,eggetarian,lunch,West India,morning
Vegetable Pulao 42,235.2,22.8,29.4,18.5,vegetarian,dessert,West India,afternoon
Jalebi 86,363.9,20.7,11.3,73.2,vegan,snack,West India,afternoon
Aloo Tikki 50,103.8,16.6,8.7,36.9,eggetarian,lunch,North India,evening
Modak 80,481.1,22.2,39.8,11.0,vegan,lunch,North India,night
Butter Naan 87,167.0,4.2,35.2,65.0,vegan,dessert,South India,afternoon
Sambar 26,450.5,28.1,28.1,62.5,vegan,lunch,East India,morning
Veg Momos 98,315.1,30.0,33.7,17.4,non-vegetarian,snack,North India,evening
Kadhi 3,595.3,8.1,36.9,53.5,eggetarian,dessert,South India,afternoon
Dhokla 85,428.7,26.4,18.0,17.2,vegan,snack,South India,afternoon
Baingan Bharta 31,342.8,7.7,11.8,71.4,vegan,dessert,North India,afternoon
Dal Tadka 12,529.0,17.6,23.5,77.0,eggetarian,lunch,Pan India,evening
Chicken 65 32,510.7,8.7,18.6,67.2,non-vegetarian,dinner,North India,evening
Dal Tadka 97,435.7,9.5,17.0,33.0,non-vegetarian,dessert,Pan India,morning
Curd Rice 65,344.4,21.7,6.8,59.6,vegetarian,breakfast,East India,night
Gulab Jamun 38,582.5,18.2,37.3,71.4,non-vegetarian,dinner,Pan India,morning
Vegetable Pulao 54,412.6,14.7,11.9,47.8,vegan,lunch,North India,night
Lassi 53,397.8,28.0,14.7,13.8,vegan,snack,South India,evening
Gajar Halwa 42,371.6,4.3,13.9,43.6,vegan,dessert,West India,afternoon
Modak 10,580.2,12.5,38.3,64.2,vegan,dinner,West India,night
Roti 27,229.6,23.8,12.7,50.7,vegan,dinner,South India,morning
Baingan Bharta 33,265.5,19.8,36.9,25.3,non-vegetarian,lunch,North India,morning
Hakka Noodles 8,268.5,17.2,26.6,50.9,vegetarian,lunch,North India,night
Besan Chilla 98,445.8,23.8,1.6,73.8,vegetarian,lunch,South India,night
Thepla 10,230.6,7.8,3.6,76.0,vegan,dessert,East India,morning
Khichdi 1,358.7,19.6,18.2,30.5,vegan,dessert,Pan India,afternoon
Masala Chai 42,439.3,3.2,2.0,17.9,eggetarian,breakfast,West India,afternoon
Roti 31,371.3,3.4,33.8,48.1,non-vegetarian,dinner,West India,morning
Palak Paneer 15,294.0,17.0,38.8,33.2,vegan,breakfast,Pan India,night
Aloo Tikki 46,407.1,7.9,34.2,18.7,vegetarian,dinner,East India,afternoon
Vada Pav 74,450.3,14.1,13.8,62.7,vegan,breakfast,East India,night
Besan Chilla 77,237.1,6.0,3.4,48.4,eggetarian,dessert,North India,night
Kadhi 64,444.5,19.1,17.0,61.7,eggetarian,snack,South India,morning
Shrikhand 79,203.2,25.2,21.9,10.3,eggetarian,dinner,South India,night
Rajma Chawal 12,238.6,13.2,11.0,53.5,eggetarian,lunch,South India,night
Kofta Curry 64,278.0,21.1,24.3,43.7,non-vegetarian,breakfast,West India,afternoon
Poha 40,428.5,13.0,37.4,71.7,eggetarian,snack,Pan India,afternoon
Egg Curry 5,113.2,6.1,7.5,63.4,eggetarian,breakfast,North India,morning
Roti 67,405.4,19.9,5.5,53.7,eggetarian,lunch,West India,afternoon
Curd Rice 6,282.1,3.0,33.5,26.7,eggetarian,breakfast,South India,morning
Dosa 56,348.9,12.0,14.0,55.9,non-vegetarian,breakfast,West India,night
Malai Kofta 47,484.3,17.6,9.8,55.1,vegan,breakfast,South India,morning
Kheer 30,410.4,6.1,13.5,68.3,vegan,snack,Pan India,evening
Fish Curry 84,591.5,25.2,34.3,45.2,vegetarian,dinner,Pan India,evening
Khichdi 74,427.2,5.6,26.3,21.0,non-vegetarian,dinner,West India,morning
Dal Tadka 31,393.2,25.5,38.2,18.5,vegetarian,lunch,South India,night
Fish Curry 36,174.5,15.5,33.2,44.5,non-vegetarian,snack,South India,morning
Paneer Tikka 65,490.6,11.5,36.0,33.1,vegan,breakfast,South India,morning
Sambar 41,413.7,21.3,29.7,27.6,eggetarian,breakfast,West India,evening
Fish Curry 94,582.4,11.6,7.5,10.2,vegetarian,dinner,Pan India,morning
Vada Pav 55,341.8,19.3,17.7,15.9,non-vegetarian,dessert,West India,evening
Aloo Paratha 69,510.7,4.8,30.9,79.5,non-vegetarian,dessert,Pan India,afternoon
Vegetable Pulao 75,202.3,29.9,2.0,15.8,non-vegetarian,snack,Pan India,afternoon
Samosa 31,243.9,29.3,9.6,38.8,non-vegetarian,dinner,North India,night
Samosa 84,541.4,25.9,7.9,24.9,vegetarian,dinner,West India,morning
Lemon Rice 43,369.2,12.3,30.4,20.2,eggetarian,dinner,North India,morning
Idli 3,351.7,21.7,12.7,47.8,vegetarian,dessert,Pan India,evening
Lassi 6,393.5,24.3,15.8,12.1,non-vegetarian,breakfast,West India,evening
Lemon Rice 81,326.9,13.6,2.1,60.4,vegetarian,dessert,Pan India,evening
Gajar Halwa 22,591.0,14.3,8.0,19.0,non-vegetarian,breakfast,East India,evening
Poha 62,231.1,13.9,15.7,23.0,vegan,dinner,North India,morning
Gajar Halwa 79,116.3,4.7,28.3,57.1,eggetarian,dinner,North India,morning
Egg Curry 21,171.3,5.4,3.2,66.1,eggetarian,breakfast,East India,afternoon
Chicken Biryani 80,286.9,13.2,1.6,35.5,vegan,breakfast,West India,afternoon
Rasam 24,405.6,27.9,30.7,30.3,vegan,snack,East India,night
Mutton Curry 41,367.9,10.1,26.2,15.0,eggetarian,snack,East India,night
Palak Paneer 29,522.8,2.6,37.0,78.7,vegetarian,breakfast,South India,night
Kheer 27,360.8,2.1,8.5,64.0,eggetarian,breakfast,South India,night
Fish Curry 83,300.2,21.8,21.5,48.1,non-vegetarian,dinner,East India,morning
Hakka Noodles 67,301.4,19.1,20.6,57.7,vegetarian,lunch,Pan India,evening
Dosa 81,558.4,28.9,29.9,59.3,vegan,snack,West India,evening
Modak 83,169.1,2.7,39.0,74.0,vegan,breakfast,West India,evening
Sambar 90,140.3,17.9,24.4,67.9,vegan,dessert,South India,morning
Curd Rice 38,538.2,28.6,15.4,23.4,eggetarian,lunch,South India,morning
Hakka Noodles 44,284.0,6.7,25.1,34.7,vegan,lunch,West India,night
Dhokla 13,414.5,28.1,28.4,63.6,vegan,breakfast,West India,afternoon
Dal Tadka 53,311.3,14.9,9.8,10.8,vegan,dinner,East India,evening
Modak 97,111.3,25.8,36.6,53.7,vegan,dessert,South India,afternoon
Shrikhand 13,116.3,24.1,38.1,30.6,vegetarian,dessert,Pan India,morning
Butter Naan 33,471.1,18.8,33.3,41.9,non-vegetarian,snack,Pan India,afternoon
Tandoori Chicken 88,525.1,26.6,38.6,50.0,vegetarian,dessert,South India,morning
Roti 47,242.3,24.2,19.4,76.7,vegetarian,dinner,West India,evening
Modak 57,396.0,23.3,21.9,78.3,vegan,lunch,North India,night
Kofta Curry 5,305.6,19.1,15.6,48.4,vegetarian,breakfast,North India,morning
Pakora 41,524.2,3.8,23.2,11.1,non-vegetarian,snack,East India,afternoon
Aloo Paratha 90,353.4,22.9,10.1,64.9,vegetarian,snack,West India,evening
Fish Curry 94,378.8,25.0,18.3,63.4,vegan,lunch,South India,afternoon
Curd Rice 87,269.1,24.9,33.1,52.1,eggetarian,dessert,East India,night
Paneer Butter Masala 12,480.3,18.0,22.8,16.9,eggetarian,snack,West India,evening
Shrikhand 32,420.0,21.4,23.2,29.1,eggetarian,snack,North India,afternoon
Lemon Rice 23,485.5,21.3,37.7,75.5,eggetarian,snack,West India,night
Rajma Chawal 67,299.6,18.6,39.1,42.0,vegan,breakfast,North India,morning
Gajar Halwa 55,448.9,14.6,13.5,32.7,non-vegetarian,snack,Pan India,afternoon
Dosa 76,532.9,26.5,3.2,14.8,eggetarian,dessert,West India,night
Shrikhand 81,411.5,20.4,21.0,61.1,vegetarian,dessert,Pan India,night
Upma 14,250.8,25.5,22.4,32.2,vegetarian,snack,East India,morning
Paneer Butter Masala 88,467.5,3.0,13.7,23.3,vegetarian,dessert,Pan India,afternoon
Poha 51,356.5,15.3,11.3,58.7,vegetarian,dinner,West India,evening
Roti 39,382.7,29.0,4.7,22.9,non-vegetarian,snack,North India,afternoon
Tamarind Rice 11,117.4,13.9,21.8,72.1,vegetarian,snack,East India,night
Fish Curry 30,229.2,29.5,24.3,77.9,vegetarian,dinner,East India,evening
Masala Chai 9,567.7,21.9,15.6,13.7,non-vegetarian,lunch,West India,night
Samosa 34,588.9,6.3,32.7,20.9,eggetarian,dinner,East India,morning
Pakora 4,472.5,7.9,1.2,73.3,eggetarian,lunch,South India,morning
Poha 69,519.3,21.1,26.8,48.1,eggetarian,snack,East India,evening
Hakka Noodles 59,443.7,24.3,32.0,77.9,vegetarian,dessert,North India,evening
Lemon Rice 87,447.2,25.5,15.5,27.6,vegetarian,dessert,West India,morning
Roti 6,461.8,8.7,39.8,59.8,non-vegetarian,breakfast,North India,night
Fish Curry 63,583.0,26.8,17.1,33.8,vegan,lunch,South India,morning
Samosa 19,395.1,3.3,21.4,31.3,eggetarian,lunch,West India,afternoon
Dhokla 19,258.7,24.8,26.7,19.9,vegan,dinner,West India,night
Mutton Curry 55,391.9,2.5,11.6,42.1,vegan,dinner,Pan India,night
Besan Chilla 41,217.4,19.4,22.6,52.6,eggetarian,dessert,South India,night
Vegetable Pulao 62,354.3,23.1,25.6,45.6,vegetarian,breakfast,Pan India,morning
Samosa 51,560.4,21.2,38.3,43.3,vegetarian,dessert,North India,afternoon
Chicken Biryani 71,475.3,5.8,11.5,65.3,eggetarian,dinner,East India,afternoon
Pav Bhaji 66,345.9,4.7,15.8,52.9,vegetarian,snack,North India,evening
Dosa 38,138.2,12.4,18.5,11.8,vegetarian,lunch,West India,morning
Kadhi 54,153.9,19.2,39.3,25.7,eggetarian,lunch,West India,afternoon
Masala Chai 8,546.5,19.6,13.8,24.5,non-vegetarian,dinner,South India,night
Curd Rice 64,119.9,28.1,26.3,19.4,eggetarian,dinner,South India,night
Dhokla 66,450.3,21.3,20.4,26.0,eggetarian,snack,East India,evening
Kheer 62,123.2,29.8,25.1,65.0,vegetarian,dessert,South India,evening
Kadhi 62,312.4,3.1,28.8,72.5,vegetarian,lunch,East India,afternoon
Chicken Biryani 37,168.4,21.3,39.1,43.8,non-vegetarian,snack,Pan India,afternoon
Sambar 72,548.1,19.6,27.1,29.7,non-vegetarian,snack,North India,afternoon
Egg Curry 4,443.7,6.6,30.4,21.2,non-vegetarian,breakfast,South India,night
Lassi 86,443.3,23.8,33.9,11.2,non-vegetarian,snack,East India,night
Rasam 71,197.0,28.3,4.4,65.9,vegetarian,lunch,North India,afternoon
Kadhi 83,158.3,26.9,27.6,31.9,eggetarian,lunch,South India,evening
Shrikhand 85,197.1,16.7,20.6,71.7,vegan,lunch,East India,morning
Vada Pav 59,439.8,25.4,26.9,15.3,vegan,dinner,West India,morning
Kheer 22,539.0,27.5,19.9,18.2,eggetarian,dinner,North India,afternoon
Gulab Jamun 80,573.1,28.7,38.8,13.5,eggetarian,lunch,South India,afternoon
Kheer 62,195.1,22.8,4.7,62.0,vegetarian,lunch,East India,morning
Samosa 50,462.1,6.6,39.7,49.0,non-vegetarian,breakfast,South India,afternoon
Tandoori Chicken 19,385.9,26.4,8.0,44.4,eggetarian,lunch,North India,morning
Kheer 82,271.7,5.9,39.8,63.8,vegetarian,dessert,West India,night
Hakka Noodles 29,545.8,27.9,8.5,69.4,non-vegetarian,breakfast,North India,night
Chole Bhature 61,282.6,14.8,26.8,43.5,eggetarian,breakfast,South India,night
Samosa 11,357.2,16.1,5.7,12.9,eggetarian,dessert,Pan India,night
Tandoori Chicken 3,221.5,2.4,9.4,23.5,vegan,dessert,South India,night
Sambar 99,465.0,27.4,17.3,72.3,vegan,breakfast,South India,evening
Bhindi Masala 39,176.0,13.4,39.8,67.3,vegetarian,lunch,Pan India,afternoon
Veg Momos 8,524.4,5.6,32.9,27.8,non-vegetarian,lunch,North India,evening
Hakka Noodles 25,172.8,5.8,35.6,35.7,vegan,breakfast,East India,afternoon
Bhindi Masala 37,115.4,11.3,12.1,59.6,eggetarian,snack,South India,night
Baingan Bharta 93,597.7,27.6,17.3,13.4,eggetarian,snack,Pan India,morning
Rasam 9,110.7,6.4,35.0,29.3,vegan,dinner,Pan India,afternoon
Malai Kofta 90,445.1,27.2,12.3,62.2,vegetarian,dessert,East India,afternoon
Lemon Rice 38,217.8,13.7,34.9,56.0,vegan,snack,East India,afternoon
Palak Paneer 17,380.9,16.1,22.4,50.4,non-vegetarian,breakfast,South India,night
Curd Rice 27,587.7,24.0,23.4,55.0,vegetarian,lunch,Pan India,evening
Masala Chai 46,367.2,17.4,8.7,44.9,eggetarian,breakfast,East India,night
Palak Paneer 25,172.8,27.3,10.9,59.8,vegan,dinner,South India,afternoon
Gajar Halwa 50,519.0,13.2,20.1,37.2,non-vegetarian,lunch,South India,evening
Gajar Halwa 34,382.0,27.4,39.6,34.2,vegetarian,dinner,East India,afternoon
Lemon Rice 98,366.6,25.2,3.3,33.6,vegetarian,snack,Pan India,morning
Shrikhand 55,593.6,21.1,8.3,24.9,non-vegetarian,breakfast,South India,morning
Kofta Curry 79,429.4,26.1,14.3,48.3,vegan,dessert,South India,morning
Curd Rice 23,158.3,22.6,22.0,32.2,non-vegetarian,snack,Pan India,afternoon
Chicken Biryani 74,332.4,8.8,16.0,52.7,vegan,snack,Pan India,night
Khichdi 54,447.8,26.8,4.6,48.7,non-vegetarian,breakfast,West India,morning
Chicken 65 64,564.9,15.9,33.8,72.1,vegan,dinner,West India,night
Rajma Chawal 14,117.0,9.1,32.5,46.8,vegan,lunch,East India,night
Dosa 64,179.1,16.5,4.5,20.1,non-vegetarian,snack,West India,afternoon
Mutton Curry 5,201.8,4.8,24.7,11.6,vegan,dessert,South India,afternoon
Chole Bhature 68,194.8,6.6,24.6,46.3,vegetarian,dinner,South India,afternoon
Kofta Curry 1,502.9,27.8,4.7,21.6,eggetarian,breakfast,North India,morning
Rajma Chawal 8,526.5,29.1,6.9,14.3,eggetarian,dinner,North India,night
Hakka Noodles 75,311.5,17.5,13.1,17.5,vegetarian,dessert,North India,evening
Bhindi Masala 31,220.9,2.7,28.4,13.6,vegan,dessert,East India,night
Gajar Halwa 91,386.5,4.1,22.0,48.7,vegetarian,snack,Pan India,afternoon
Fish Curry 23,314.3,27.2,13.1,36.2,non-vegetarian,dessert,North India,evening
Kofta Curry 72,368.8,27.1,38.7,57.0,vegan,dinner,Pan India,night
Gajar Halwa 7,173.5,16.2,1.8,12.6,non-vegetarian,dinner,Pan India,afternoon
Tamarind Rice 72,577.5,13.8,35.8,31.3,vegan,snack,North India,afternoon
Thepla 26,260.8,26.7,2.3,63.1,vegetarian,snack,South India,morning
Vegetable Pulao 52,531.8,28.4,33.8,16.9,eggetarian,snack,West India,night
Pav Bhaji 93,342.4,27.5,21.5,28.1,vegetarian,dinner,East India,morning
Bhindi Masala 14,420.4,10.4,20.3,70.4,vegan,lunch,West India,afternoon
Bhindi Masala 57,519.0,21.6,14.0,26.2,eggetarian,lunch,North India,evening
Chicken 65 62,433.3,15.1,8.4,63.9,eggetarian,dessert,Pan India,night
Thepla 27,248.1,15.4,31.9,52.0,vegetarian,dinner,Pan India,morning
Lassi 2,313.7,21.3,19.7,69.8,vegetarian,snack,West India,morning
Hakka Noodles 61,433.2,10.4,24.7,42.7,vegetarian,dinner,East India,afternoon
Chicken Biryani 25,307.0,11.6,2.4,10.0,non-vegetarian,snack,West India,afternoon
Jalebi 27,580.0,19.2,28.8,32.2,eggetarian,lunch,North India,morning
Pav Bhaji 50,506.3,4.8,11.3,36.5,vegan,snack,East India,night
Besan Chilla 96,111.0,25.8,23.7,16.4,non-vegetarian,snack,East India,morning
Poha 40,258.8,2.3,28.3,54.0,eggetarian,snack,North India,afternoon
Dosa 60,223.0,11.2,8.1,28.5,vegan,snack,Pan India,evening
Poha 90,592.7,6.4,32.9,70.8,vegetarian,snack,East India,afternoon
Kadhi 24,350.2,21.7,2.5,11.5,eggetarian,snack,East India,evening
Gulab Jamun 94,472.6,11.3,39.5,52.3,vegan,lunch,Pan India,night
Roti 6,224.1,14.6,5.9,11.9,eggetarian,snack,West India,evening
Vegetable Pulao 22,276.1,12.5,20.1,27.7,eggetarian,snack,West India,morning
Roti 78,158.9,17.2,23.8,74.0,eggetarian,lunch,South India,night
Chicken Biryani 30,512.8,9.1,13.5,36.6,vegan,breakfast,Pan India,night
Paneer Butter Masala 22,442.7,7.1,17.6,54.8,eggetarian,snack,South India,evening
Veg Momos 2,334.1,12.2,36.8,61.4,vegetarian,snack,Pan India,night
Curd Rice 22,572.7,6.9,15.8,42.4,vegan,lunch,Pan India,afternoon
Paneer Tikka 56,179.8,11.7,11.9,48.7,non-vegetarian,snack,West India,afternoon
Paneer Tikka 79,235.8,15.0,25.2,57.8,vegan,lunch,North India,afternoon
Egg Curry 78,156.8,25.4,8.5,38.0,vegetarian,snack,East India,afternoon
Jalebi 61,578.9,12.0,16.3,42.4,vegetarian,dinner,Pan India,morning
Rasam 21,416.3,6.7,14.4,25.1,vegan,dinner,South India,night
Malai Kofta 12,428.1,29.7,20.7,22.2,vegetarian,breakfast,West India,evening
Kofta Curry 68,118.9,20.8,6.6,22.4,vegan,dinner,Pan India,afternoon
Tamarind Rice 51,427.4,28.9,3.6,73.4,vegetarian,dessert,East India,morning
Baingan Bharta 77,598.5,23.3,26.1,53.1,vegan,snack,South India,afternoon
Dhokla 13,495.7,9.9,38.9,29.3,vegan,snack,South India,morning
Roti 21,392.3,17.2,30.9,20.1,vegetarian,breakfast,Pan India,morning
Kofta Curry 68,473.8,9.8,6.0,64.1,eggetarian,dessert,East India,night
Aloo Paratha 80,290.5,24.6,5.7,57.5,vegetarian,dinner,West India,night
Upma 13,142.5,4.3,5.4,41.4,vegetarian,lunch,East India,afternoon
Kheer 32,572.6,2.6,38.4,56.2,vegan,dessert,South India,afternoon
Chole Bhature 2,517.3,24.8,37.3,44.7,eggetarian,dinner,South India,evening
Aloo Tikki 69,360.7,27.9,1.0,28.9,vegetarian,breakfast,East India,afternoon
Roti 66,550.0,12.7,3.6,12.6,eggetarian,lunch,Pan India,evening
Gajar Halwa 17,479.5,6.3,22.9,74.7,vegetarian,breakfast,Pan India,afternoon
Paneer Tikka 93,309.4,15.3,40.0,66.5,eggetarian,lunch,Pan India,morning
Malai Kofta 85,477.2,27.6,13.0,28.0,vegetarian,breakfast,West India,afternoon
Idli 64,217.6,19.0,33.3,30.4,eggetarian,lunch,West India,afternoon
Vegetable Pulao 59,230.1,11.0,38.4,35.2,eggetarian,lunch,North India,afternoon
Aloo Paratha 44,127.8,22.6,10.8,24.9,eggetarian,dessert,East India,evening
Thepla 52,399.0,2.3,17.8,26.8,vegan,lunch,South India,afternoon
Fish Curry 36,577.7,23.7,22.2,69.9,non-vegetarian,breakfast,East India,morning
Dosa 71,358.8,25.1,7.8,37.4,vegan,breakfast,Pan India,afternoon
Baingan Bharta 73,221.1,14.7,34.2,54.6,vegan,breakfast,Pan India,morning
Khichdi 2,379.2,29.1,6.9,36.0,eggetarian,breakfast,South India,afternoon
Roti 29,443.3,12.3,27.6,76.5,eggetarian,dessert,East India,afternoon
Aloo Tikki 35,174.2,11.8,38.7,11.6,non-vegetarian,breakfast,South India,evening
Baingan Bharta 72,559.0,7.3,8.5,67.6,non-vegetarian,dinner,Pan India,evening
Chole Bhature 90,198.5,18.7,36.2,79.7,eggetarian,dessert,West India,night
Pakora 87,471.2,18.2,7.3,53.3,vegan,dessert,Pan India,evening
Paneer Tikka 27,387.8,2.3,38.1,51.2,non-vegetarian,snack,Pan India,afternoon
Khichdi 41,200.0,21.8,32.0,62.8,vegetarian,dessert,East India,morning
Rajma Chawal 22,191.1,17.7,38.5,65.3,vegan,snack,East India,afternoon
Kadhi 70,535.8,20.0,5.5,39.4,vegetarian,lunch,South India,evening
Baingan Bharta 75,193.2,9.0,37.7,23.4,eggetarian,dessert,North India,afternoon
Paneer Butter Masala 91,590.1,20.0,15.7,68.8,vegetarian,snack,North India,morning
Veg Momos 77,573.9,4.3,4.0,73.3,eggetarian,snack,North India,evening
